,Date,High,Low,Open,Close,Volume,Adj Close
0,2010-01-04,9370.0,8935.0,9370.0,9005.0,8051.0,8725.294921875
1,2010-01-05,9210.0,8885.0,9005.0,8915.0,11448.0,8638.0888671875
2,2010-01-06,9545.0,8880.0,8990.0,9440.0,41703.0,9146.7822265625
3,2010-01-07,9670.0,9340.0,9600.0,9445.0,23390.0,9151.626953125
4,2010-01-08,9530.0,9300.0,9530.0,9370.0,5945.0,9078.9560546875
5,2010-01-11,9540.0,9260.0,9435.0,9300.0,4329.0,9011.130859375
6,2010-01-12,9825.0,9250.0,9365.0,9470.0,26857.0,9175.849609375
7,2010-01-13,9550.0,9150.0,9380.0,9445.0,6508.0,9151.626953125
8,2010-01-14,9710.0,9450.0,9540.0,9560.0,9040.0,9263.0556640625
9,2010-01-15,9730.0,9435.0,9600.0,9470.0,5167.0,9175.849609375
10,2010-01-18,10190.0,9480.0,9490.0,9880.0,37640.0,9573.115234375
11,2010-01-19,10075.0,9575.0,9900.0,9650.0,11810.0,9350.2587890625
12,2010-01-20,9750.0,9480.0,9750.0,9615.0,6167.0,9316.3466796875
13,2010-01-21,9875.0,9275.0,9600.0,9500.0,10972.0,9204.9189453125
14,2010-01-22,10000.0,9095.0,10000.0,9240.0,6728.0,8952.9951171875
15,2010-01-25,9280.0,8835.0,9280.0,9000.0,4929.0,8720.4482421875
16,2010-01-27,9030.0,8600.0,8905.0,8725.0,6476.0,8453.990234375
17,2010-01-28,9015.0,8500.0,8760.0,8715.0,12380.0,8444.30078125
18,2010-01-29,8820.0,8410.0,8600.0,8710.0,7101.0,8439.45703125
19,2010-02-01,8960.0,8660.0,8660.0,8770.0,21940.0,8497.5947265625
20,2010-02-02,9210.0,8720.0,8890.0,8805.0,14007.0,8531.505859375
21,2010-02-03,9160.0,8900.0,8990.0,8965.0,10384.0,8686.5361328125
22,2010-02-04,9040.0,8625.0,9000.0,8685.0,8170.0,8415.232421875
23,2010-02-05,8725.0,8310.0,8310.0,8680.0,8268.0,8410.388671875
24,2010-02-08,8870.0,8560.0,8800.0,8760.0,3336.0,8487.9052734375
25,2010-02-09,8990.0,8640.0,8990.0,8750.0,14936.0,8478.2138671875
26,2010-02-10,8850.0,8675.0,8750.0,8700.0,4713.0,8429.7666015625
27,2010-02-11,9180.0,8715.0,8750.0,8850.0,58728.0,8575.1083984375
28,2010-02-15,8990.0,8515.0,8990.0,8555.0,13831.0,8289.271484375
29,2010-02-16,8815.0,8590.0,8600.0,8705.0,10487.0,8434.611328125
30,2010-02-17,9285.0,8790.0,8795.0,9015.0,58667.0,8734.9833984375
31,2010-02-18,9440.0,9030.0,9120.0,9285.0,64060.0,8996.5966796875
32,2010-02-19,9490.0,9215.0,9290.0,9300.0,18305.0,9011.130859375
33,2010-02-22,9630.0,9350.0,9350.0,9565.0,42245.0,9267.8994140625
34,2010-02-23,10025.0,9615.0,9615.0,9945.0,40471.0,9636.095703125
35,2010-02-24,10390.0,9755.0,9975.0,10290.0,41822.0,9970.3798828125
36,2010-02-25,10550.0,10105.0,10300.0,10230.0,19693.0,9912.2421875
37,2010-02-26,10800.0,10020.0,10320.0,10395.0,22117.0,10072.1181640625
38,2010-03-02,10520.0,10005.0,10450.0,10085.0,34865.0,9771.748046875
39,2010-03-03,10645.0,10135.0,10190.0,10480.0,14657.0,10154.4775390625
40,2010-03-04,10515.0,10250.0,10470.0,10375.0,7993.0,10052.740234375
41,2010-03-05,10470.0,10165.0,10470.0,10225.0,3637.0,9907.3984375
42,2010-03-08,10440.0,10280.0,10360.0,10315.0,19750.0,9994.603515625
43,2010-03-09,10345.0,10100.0,10340.0,10125.0,4464.0,9810.5048828125
44,2010-03-10,10140.0,9740.0,10100.0,9840.0,6810.0,9534.3583984375
45,2010-03-11,10060.0,9750.0,9750.0,9935.0,6367.0,9626.40625
46,2010-03-12,10100.0,9935.0,10000.0,9995.0,4673.0,9684.54296875
47,2010-03-15,9995.0,9710.0,9995.0,9755.0,3426.0,9451.998046875
48,2010-03-16,9840.0,9620.0,9760.0,9675.0,2637.0,9374.4814453125
49,2010-03-17,9840.0,9530.0,9730.0,9585.0,3305.0,9287.27734375
50,2010-03-18,9820.0,9415.0,9600.0,9445.0,6811.0,9151.626953125
51,2010-03-19,9500.0,9310.0,9500.0,9360.0,3308.0,9069.2666015625
52,2010-03-22,9395.0,8990.0,9300.0,9070.0,16770.0,8788.275390625
53,2010-03-23,9990.0,9000.0,9100.0,9400.0,19763.0,9108.0244140625
54,2010-03-25,10020.0,9465.0,9470.0,9740.0,55100.0,9437.462890625
55,2010-03-26,10100.0,9480.0,9855.0,9530.0,11377.0,9233.986328125
56,2010-03-29,10000.0,9410.0,9615.0,9925.0,13677.0,9616.716796875
57,2010-03-30,9995.0,9650.0,9995.0,9690.0,3740.0,9389.0166015625
58,2010-03-31,9970.0,9310.0,9690.0,9740.0,29884.0,9437.462890625
59,2010-04-01,9950.0,9790.0,9795.0,9850.0,3562.0,9544.046875
60,2010-04-05,9965.0,9650.0,9940.0,9925.0,2496.0,9616.716796875
61,2010-04-06,10570.0,9830.0,9900.0,10380.0,38194.0,10057.583984375
